,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Title
0,,1.0,Chris Bellamy,WR,6-2,200.0,Sr.,"Dallas, Texas /",Coffeyville CC,,
1,,1.0,Devlin Kirklin,DB,6-1,205.0,Gr.,"Lexington, Miss. / Holmes County",Holmes CC,,
2,,2.0,Ta'ir Brooks,WR,6-4,190.0,Sr.,"Oakland, Calif. / McClymonds HS",Laney College,,
3,,2.0,Malachi McLean,S,5-11,175.0,So.,"Manvel, Texas / Manvel HS",,,
4,,3.0,Jamoni Jones,RB,6-2,225.0,Jr.,"Tulsa, Okla. / Memorial HS",Northeastern Oklahoma A&M,,
5,,4.0,BJ Sculark,DB,5-11,185.0,Sr.,"Temple, Texas / Temple HS",,,
6,,4.0,Star Thomas,RB,6-0,225.0,Jr.,"Homer, La. / Homer HS",Coffeyville CC,,
7,,5.0,J.J. Dervil,ATH,6-3,180.0,Jr.,"Naples, Fla. / Lely",,,
8,,6.0,Syrus Dumas,DB,5-10,170.0,Sr.,"Columbus, Miss. /",Independence CC,,
9,,8.0,Andre Seldon,DB,5-8,180.0,R-So.,"Belleville, Mich. / Belleville HS",Michigan,,
10,,8.0,Ahmonte Watkins,CB/RB,5-11,190.0,Jr.,"Houston, Texas / Klein Forest HS",TCU,,
11,,9.0,Gavin Frakes,QB,6-4,220.0,So.,"Norman, Okla. / Norman North HS",,,
12,,10.0,Diego Pavia,QB,6-0,200.0,Sr.,"Albuquerque, N.M. / Volcano Vista",New Mexico Military Institute,,
13,,11.0,Kordell David,WR,6-3,195.0,Sr.,"Winnie, Texas / East Chambers HS",Trinity Valley CC,,
14,,11.0,Dylan Early,DB,6-0,180.0,Jr.,"Houston, Texas / Dekaney",,,
15,,12.0,Jonathan Brady,WR,5-11,180.0,So.,"Las Vegas, Nev. / Bishop Gorman",,,
16,,12.0,Rashad McKinley,DB,5-11,175.0,So.,"St. Paul, Minn. / Hill Murray School",,,
17,,13.0,Ron Vann,WR,6-2,180.0,Jr.,"Chula Vista, Calif. / Bonita Vista HS",,,
18,,14.0,Sone Aupiu,LB,6-0,210.0,So.,"Long Beach, Calif. / Saint Anthony HS",,,
19,,14.0,Makhilyn Young,RB,5-10,190.0,So.,"Midland, Texas / Midland Legacy HS",,,
20,,15.0,Torren Union,DB,6-2,195.0,R-Sr.,"Mesa, Ariz. / Marcos de Niza HS",South Dakota State,,
21,,16.0,Larenzo McMillan,RB/ATH,5-10,195.0,Jr.,"San Bernardino, Calif. / Cajon",,,
22,,17.0,Justin Stinson,DB,6-3,205.0,Jr.,"Chandler, Ariz. / Valley Christian",,,
23,,18.0,Jordin Parker,WR,5-9,160.0,R-Sr.,"Chandler, Ariz. / Basha HS",Gila River JC,,
24,,18.0,Amari Pouncy,DL,6-3,235.0,Jr.,"Perris, Calif. / Village Christian HS",,,
25,,19.0,Lezeric Bailey,LB/DE,6-4,205.0,Jr.,"Aubrey, Texas / Braswell",,,
26,,19.0,Kheagian Heckaman,QB,6-1,220.0,So.,"Hampshire, Texas /",,,
27,,20.0,Tim Gans,RB,5-10,195.0,Jr.,"Missouri City, Texas / Dulles HS",,,
28,,20.0,Mehki Miller,DB,6-1,205.0,R-Jr.,"Park Forest, Ill. / Rich Central HS",Miami (Ohio),,
29,,21.0,Jayvhion Gipson,LB,6-1,205.0,R-So.,"Houston, Texas / Langham Creek HS",TCU,,
30,,22.0,Bryce Bearss,QB,6-5,215.0,Jr.,"Millington, Mi. / Millington HS",College of the Canyons,,
31,,22.0,Keyshaun Elliott,LB,6-3,225.0,So.,"Richmond, Mo. / Richmond HS",,,
32,,23.0,Dalton Bowles,LB,6-2,205.0,Sr.,"Roswell, N.M. / Goddard",New Mexico Military Institute,,
33,,23.0,Jeff Davison,QB,6-1,195.0,Jr.,"Rio Rancho, N.M. / Cleveland HS",,,
34,,24.0,Kareem Burgess,TE,6-4,250.0,Gr.,"Fredericksburg, Va. / Fork Union Military Academy",Frostburg State University,,
35,,25.0,Lama Lavea,DL,6-3,300.0,R-Jr.,"El Paso, Texas / Chapin",,,
36,,26.0,Karson Kaiser,,-,,So.,/,,,
37,,26.0,Sterling Webb,DL,6-2,265.0,So.,"St. Louis, Mo. / Westminster Christian Academy",,,
38,,28.0,Jaden Robinson,DE,6-5,215.0,So.,"Dallas, Texas / Episcopal School of Dallas",,,
39,,30.0,Randy Robinson,,5-11,185.0,R-Sr.,"Philadelphia, Pa. / Chandler HS",Garden City CC,,
