,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Previous School,Image,Name,Title
0,,2.0,CJ Hardy,WR,5-11,200.0,Gr.,"Cypress, Texas / Cypress Ranch HS",,,,
1,,4.0,Isaiah Robinson,RB,6-0,212.0,So.,"Humble,TX /",,,,
2,,5.0,Tiji Paul,DB,5-10,160.0,Sr.,"Marlin, Texas / Shoemaker HS",Kilgore CC,,,
3,,7.0,Luke Gombert,QB,6-2,186.0,R-Jr.,"Bulverde, TX / Smithson Valley",University of North Texas,,,
4,,7.0,Brandon Richard,DB,5-11,183.0,Gr.,"San Antonio, Texas / San Antonio Christian HS",,,,
5,,8.0,Caleb Berry,RB,6-1,225.0,R-So.,"Lufkin, TX /",,,,
6,,9.0,Kannon Williams,QB,6-2,220.0,R-So.,San Antonio / Harlan HS,,,,
7,,10.0,Mat Freeman,DL,6-3,230.0,Rf.,"Red Oak,TX /",,,,
8,,12.0,Seth Hayes,TE,6-4,209.0,R-Jr.,"Virginia Beach, VA / Magnolia West HS",Arkansas State University,,,
9,,13.0,Marquez Perez,WR,5-11,191.0,Gr.,"College Station, Texas / College Station HS",Tulsa,,,
10,,13.0,Tre Richardson,DB,6-2,178.0,Gr.,"Houston, Texas / Jersey Village HS",,,,
11,,14.0,Emerson Haywood,WR,6-1,163.0,R-Jr.,"Baytown, Texas / Goose Creek Memorial HS",,,,
12,,14.0,Steven Parker,DL,6-4,237.0,R-Sr.,"Dallas,TX / South Oak Cliff HS",Kansas,,,
13,,15.0,Jaelin Campbell,WR,6-1,195.0,Gr.,"College Station, Texas / College Station HS",,,,
14,,16.0,Dante Heaggans,DB,6-1,185.0,Gr.,"San Antonio, Texas / Madison HS",,,,
15,,17.0,Dekalon Taylor,WR,5-9,166.0,So.,"Longview,TX /",,,,
16,,18.0,Brandon Porter,WR,5-10,165.0,Gr.,"Rancho Cucamonga,TX /",Northern Arizona University,,,
17,,18.0,Reese Watson,DB,6-0,185.0,Gr.,"Austin, Texas / Vandegrift HS",,,,
18,,19.0,Baron Bradley,WR,6-1,189.0,R-Jr.,"Porter, Texas / Porter HS",,,,
19,,20.0,Brandon Zapata,RB,5-11,199.0,R-So.,"Brownsville, Texas /",,,,
20,,22.0,Jarrell Wiley,RB,5-10,182.0,R-So.,"Mexia, Texas / Mexia High School",,,,
21,,23.0,Shawn Holton,DB,5-10,170.0,Gr.,"Fort Worth, Texas / Nolan Catholic HS",,,,
22,,24.0,Nick Meehan,RB,5-11,193.0,Rf.,"Mcallen,TX /",,,,
23,,26.0,Aaron Reynolds,DB,6-4,201.0,Sr.,"Dothan,AL /",Faulkner University,,,
24,,27.0,Devonte Wilson,DL,6-2,196.0,R-So.,"Savannah,GA /",,,,
25,,28.0,Jayden Staggers,DB,5-11,167.0,So.,"San Antonio, TX /",,,,
26,,30.0,Dylan Nelson,RB,5-11,169.0,So.,"Coppell,TX /",,,,
27,,32.0,Darius Sanders,LB,6-2,199.0,Jr.,"Amarillo, Texas / Tascosa HS",,,,
28,,33.0,Tylan George,LB,5-11,212.0,R-Jr.,"Acres Homes, TX / Klein Oak HS",,,,
29,,34.0,Jeffrey Pearson,TE,6-0,205.0,Rf.,"Mckinney,TX /",,,,
30,,36.0,Keenon Pitts,DB,5-10,169.0,R-So.,"San Antonio, TX /",,,,
31,,38.0,Tyrese Brown,RB,5-10,176.0,R-Jr.,"Madisonville, Texas / Madisonville HS",,,,
32,,40.0,Khalil Warfield,DB,6-2,193.0,So.,"San Antonio, TX /",,,,
33,,44.0,John Mathis,DL,6-2,265.0,R-Jr.,"Dallas, TX /",,,,
34,,46.0,Ricky Rich,LB,6-1,212.0,R-So.,"Richmond, TX /",,,,
35,,48.0,Haden Tessier,P/K,5-9,162.0,Rf.,"Prosper,TX /",,,,
36,,49.0,Edgerrin Williams,DL,6-2,250.0,Rf.,"Hutto,TX /",,,,
37,,51.0,Austin Yeager,OL,6-4,270.0,Rf.,"Richmond,TX /",,,,
38,,59.0,Jeremiah Richard,OL,6-2,213.0,R-So.,"Katy,TX /",,,,
39,,61.0,Aaron Martinez,OL,6-1,295.0,R-Jr.,"San Antonio, Texas / South San Antonio HS",,,,
40,,63.0,Stanley Mark,OL,6-3,283.0,Gr.,"Seguin, Texas / Steele HS",Blinn CC,,,
41,,70.0,Dayton Robinson,OL,6-4,320.0,R-So.,"Arlington, TX / Mansfield Timberview HS",,,,
42,,73.0,Caleb Flores,OL,6-4,279.0,Rf.,"Heath,TX /",,,,
